1749,1954,2025,1986,1924
1733,1966,2041,1976,1905
1729,1990,2073,1982,1917
1725,2015,2103,1999,1920
1750,2069,2156,2030,1940
1819,2156,2249,2084,1981
2011,2344,2437,2179,2051
2204,2528,2627,2281,2135
2205,2494,2596,2354,2205
2169,2387,2502,2354,2203
2121,2296,2428,2320,2167
2073,2226,2358,2273,2117
2008,2152,2278,2204,2079
1974,2117,2230,2135,2025
1939,2089,2184,2079,1975
1950,2105,2177,2057,1970
2003,2174,2209,2088,2022
2094,2234,2245,2135,2066
2163,2302,2296,2202,2127
2186,2316,2285,2198,2125
2172,2295,2248,2165,2085
2128,2240,2187,2118,2027
2035,2133,2141,2049,1938
1975,2064,2057,1987,1842
